image,work,philosopher,year,school,excerpt
https://upload.wikimedia.org/wikipedia/commons/a/a4/Socrates_Louvre.jpg,The Socratic Method,Socrates,c. 420 BC,ancient greek,Socrates left no writings; his method of relentless questioning (elenchus) to expose contradictions was recorded by Plato. Executed in 399 BC for 'corrupting the youth.'
https://upload.wikimedia.org/wikipedia/commons/8/88/Plato_Silanion_Musei_Capitolini_MC1377.jpg,The Republic,Plato,c. 375 BC,ancient greek,"Plato's dialogue on justice and the ideal state, containing the Allegory of the Cave and the theory of Forms."
https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg,Nicomachean Ethics,Aristotle,c. 340 BC,ancient greek,"The Nicomachean Ethics is Aristotle's best-known work on ethics: the science of the good for human life, that which is the goal or end at which all our actions aim. It consists of ten sections, referred to as books, and is closely related to Aristotle's Eudemian Ethics. The work is essential for the interpretation of Aristotelian ethics.\n\nThe text centers upon the question of how to best live, a theme previously explored in the works of Plato, Aristotle's friend and teacher. In Aristotle's Metaphysics, he describes how Socrates, the friend and teacher of Plato, turned philosophy to human questions, whereas pre-Socratic philosophy had only been theoretical and concerned with natural science. Ethics, Aristotle claimed, is practical rather than theoretical, in the Aristotelian senses of these terms."
https://upload.wikimedia.org/wikipedia/commons/3/3f/Marcus_Aurelius_Glyptothek_Munich.jpg,Meditations,Marcus Aurelius,c. 175,stoicism,"Meditations (Koine Greek: Τὰ εἰς ἑαυτόν, romanized: Ta eis heauton, lit. ''Things Unto Himself'') is a series of personal writings by Marcus Aurelius, Roman Emperor from 161–180 AD, recording his private notes to himself and ideas on Stoic philosophy."
https://upload.wikimedia.org/wikipedia/commons/d/d1/Carlo_Crivelli_007.jpg,Summa Theologica,Thomas Aquinas,c. 1274,scholasticism,"The Summa Theologiae or Summa Theologica (transl. 'Summary of Theology'), often referred to simply as the Summa, is the best-known work of Thomas Aquinas, a scholastic theologian and Doctor of the Church. It is a compendium of all of the main theological teachings of the Catholic Church. Presenting the reasoning for almost all points of Christian theology in the West, topics of the Summa follow the following cycle: God; Creation, Man; Man's purpose; Christ; the Sacraments; and back to God."
https://upload.wikimedia.org/wikipedia/commons/7/73/Frans_Hals_-_Portret_van_Ren%C3%A9_Descartes.jpg,Meditations on First Philosophy,René Descartes,1641,rationalism,"Meditations on First Philosophy, in which the existence of God and the immortality of the soul are demonstrated, often simply called Meditations on First Philosophy or the Meditations, is a philosophical treatise by René Descartes first published in Latin in 1641. The French translation (by the Duke of Luynes with Descartes' supervision) was published in 1647 as Méditations Métaphysiques. The title may contain a misreading by the printer, mistaking animae immaterialitas for animae immortalitas, as suspected by A. Baillet.\n\nThe book is made up of six meditations, in which Descartes first discards all belief in things that are not absolutely certain, and then tries to establish what can be known for sure. He wrote the Meditations as if he had meditated for six days: each meditation refers to the last one as ""yesterday""."
https://upload.wikimedia.org/wikipedia/commons/d/d1/JohnLocke.png,An Essay Concerning Human Understanding,John Locke,1689,empiricism,"An Essay Concerning Human Understanding is an essay by John Locke concerning the foundation of human knowledge and understanding. It first appeared in 1689 (although dated 1690) with the printed title An Essay Concerning Humane Understanding. He describes the mind at birth as a blank slate (tabula rasa, although he did not use those actual words) filled later through experience. The essay was one of the principal sources of empiricism in modern philosophy, and influenced many enlightenment philosophers, such as David Hume and George Berkeley.\n\nBook I of the Essay is Locke's attempt to refute the rationalist notion of innate ideas."
https://upload.wikimedia.org/wikipedia/commons/2/21/David_Hume.jpg,A Treatise of Human Nature,David Hume,1739,empiricism,"A Treatise of Human Nature: Being an Attempt to Introduce the Experimental Method of Reasoning into Moral Subjects is a book by Scottish philosopher David Hume, considered by many to be Hume's most important work and one of the most influential works in the history of philosophy. The book has appeared in many editions since the death of the author in 1776.\n\nThe Treatise is a classic statement of philosophical empiricism, scepticism, and naturalism. In the introduction Hume presents the idea of placing all science and philosophy on a novel foundation: namely, an empirical investigation into human nature. Impressed by Isaac Newton's achievements in the physical sciences, Hume sought to introduce the same experimental method of reasoning into the study of human psychology, with the aim of discovering the ""extent and force of human understanding""."
https://upload.wikimedia.org/wikipedia/commons/4/43/Immanuel_Kant_%28painted_portrait%29.jpg,Critique of Pure Reason,Immanuel Kant,1781,german idealism,"Critique of Pure Reason is a book by the German philosopher Immanuel Kant, in which the author seeks to determine the limits and scope of metaphysics. Also referred to as Kant's ""First Critique"", it was followed by his Critique of Practical Reason (1788) and Critique of Judgment (1790). In the preface to the first edition, Kant explains that by a ""critique of pure reason"" he means a critique ""of the faculty of reason in general, in respect of all knowledge after which it may strive independently of all experience"" and that he aims to decide on ""the possibility or impossibility of metaphysics"".\n\nKant builds on the work of empiricist philosophers such as John Locke and David Hume, as well as rationalist philosophers such as René Descartes, Gottfried Wilhelm Leibniz and Christian Wolff."
https://upload.wikimedia.org/wikipedia/commons/0/08/Hegel_portrait_by_Schlesinger_1831.jpg,Phenomenology of Spirit,G. W. F. Hegel,1807,german idealism,"The Phenomenology of Spirit is an 1807 book by the German philosopher Georg Wilhelm Friedrich Hegel. It is Hegel's first major work and is considered one of the most important and difficult works of German idealism. The book describes a ""biography of Spirit"" in which consciousness develops from its most basic forms of sensory experience to the highest form of self-knowledge, which Hegel terms ""absolute knowing"". The book's central argument is that human beings achieve freedom through a process of retrospective self-understanding.\n\nOriginally intended as the introduction to Hegel's larger philosophical system, the Phenomenology grew into a substantial work in its own right. Its central purpose is to serve as a ""ladder"" that guides the reader from the standpoint of ""natural consciousness"" to the standpoint of philosophical science."
