image,event,year,category,excerpt
https://upload.wikimedia.org/wikipedia/commons/f/f9/Declaration_of_Independence_%281819%29%2C_by_John_Trumbull.jpg,Declaration of Independence,1776,founding,"The Continental Congress declared the thirteen colonies independent from Britain, asserting that all men are created equal."
https://upload.wikimedia.org/wikipedia/commons/9/95/Washington_Crossing_the_Delaware_by_Emanuel_Leutze%2C_MMA-NYC%2C_1851.jpg,Washington Crosses the Delaware,1776,revolution,Washington's surprise night crossing before the Battle of Trenton revived the flagging cause of the American Revolution.
https://upload.wikimedia.org/wikipedia/commons/9/9d/Scene_at_the_Signing_of_the_Constitution_of_the_United_States.jpg,Signing of the Constitution,1787,founding,"Delegates in Philadelphia drafted the U.S. Constitution, establishing a federal government with three branches and checks and balances."
https://upload.wikimedia.org/wikipedia/commons/5/56/Louisiana_Purchase.jpg,The Louisiana Purchase,1803,expansion,"Jefferson bought 828,000 square miles from France for $15 million, doubling the size of the United States."
,The Trail of Tears,1838,expansion,"The forced removal of the Cherokee and other southeastern nations westward, during which thousands died."
https://upload.wikimedia.org/wikipedia/commons/a/ab/Abraham_Lincoln_O-77_matte_collodion_print.jpg,Emancipation Proclamation,1863,civil war,"Lincoln declared enslaved people in Confederate states to be free, redefining the Civil War as a struggle over slavery."
https://upload.wikimedia.org/wikipedia/commons/5/5d/East_and_West_Shaking_hands_at_the_laying_of_last_rail_Union_Pacific_Railroad_-_Restoration.jpg,Transcontinental Railroad Completed,1869,industrial,"The golden spike at Promontory Summit joined the eastern and western rail networks, binding the continent together."
https://upload.wikimedia.org/wikipedia/commons/9/95/Wrightflyer.jpg,First Powered Flight,1903,innovation,"The Wright brothers achieved the first sustained, controlled, powered airplane flight at Kitty Hawk, North Carolina."
https://upload.wikimedia.org/wikipedia/commons/e/e1/Crowd_outside_nyse.jpg,The Great Crash,1929,economic,"The Wall Street crash wiped out fortunes and ushered in the Great Depression, the worst economic downturn in modern history."
https://upload.wikimedia.org/wikipedia/commons/0/09/The_USS_Arizona_%28BB-39%29_burning_after_the_Japanese_attack_on_Pearl_Harbor_-_NARA_195617_-_Edit.jpg,Attack on Pearl Harbor,1941,war,Japan's surprise attack on the Pacific Fleet brought the United States into World War II.
https://upload.wikimedia.org/wikipedia/commons/0/0d/Martin_Luther_King_press_conference_01269u_edit.jpg,March on Washington,1963,civil rights,"Martin Luther King Jr. delivered his 'I Have a Dream' speech to 250,000 people, a landmark of the civil rights movement."
https://upload.wikimedia.org/wikipedia/commons/9/98/Aldrin_Apollo_11_original.jpg,Apollo 11 Moon Landing,1969,space,"Neil Armstrong and Buzz Aldrin became the first humans to walk on the Moon, fulfilling Kennedy's decade-long challenge."
