image,name,years,occupation,country,excerpt
https://upload.wikimedia.org/wikipedia/commons/b/ba/Leonardo_self.jpg,Leonardo da Vinci,1452-1519,polymath,italy,"The archetypal Renaissance man, Leonardo painted the Mona Lisa and The Last Supper while filling thousands of notebook pages with studies of anatomy, flight, hydraulics, and optics.\n\nHe embodied the era's conviction that art and science were a single pursuit of understanding nature."
https://upload.wikimedia.org/wikipedia/commons/f/f2/Nikolaus_Kopernikus.jpg,Nicolaus Copernicus,1473-1543,scientist/astronomer,poland,"A church canon and astronomer, Copernicus proposed that the Earth and planets orbit the Sun, overturning the 1,400-year-old Earth-centered cosmos of Ptolemy.\n\nPublished as he lay dying in 1543, his work opened the Scientific Revolution."
https://upload.wikimedia.org/wikipedia/commons/d/d4/Justus_Sustermans_-_Portrait_of_Galileo_Galilei%2C_1636.jpg,Galileo Galilei,1564-1642,scientist/astronomer,italy,"Turning the newly invented telescope to the sky, Galileo discovered the moons of Jupiter and the phases of Venus, confirming the Copernican system.\n\nHis insistence on observation over authority led to his condemnation by the Inquisition, but earned him the title of father of modern science."
https://upload.wikimedia.org/wikipedia/commons/a/a2/Shakespeare.jpg,William Shakespeare,1564-1616,playwright,england,"The most influential writer in the English language, Shakespeare wrote some 38 plays and 154 sonnets that still define tragedy, comedy, and the range of human character.\n\nWorking in Elizabethan and Jacobean London, he shaped the very vocabulary of English."
https://upload.wikimedia.org/wikipedia/commons/7/74/JKepler.jpg,Johannes Kepler,1571-1630,scientist/astronomer,germany,"Using Tycho Brahe's meticulous observations, Kepler discovered that planets move in ellipses at varying speeds, replacing the ancient dogma of perfect circular motion.\n\nHis three laws of planetary motion gave Newton the foundation for universal gravitation."
https://upload.wikimedia.org/wikipedia/commons/3/39/GodfreyKneller-IsaacNewton-1689.jpg,Isaac Newton,1643-1727,scientist/physicist,england,"Newton's Principia unified the heavens and the Earth under three laws of motion and a single law of gravity, and he co-invented calculus to describe them.\n\nHis mechanics governed physics for two centuries and remains the language of everyday engineering."
https://upload.wikimedia.org/wikipedia/commons/6/68/Carl_von_Linn%C3%A9.jpg,Carl Linnaeus,1707-1778,scientist/botanist,sweden,"Linnaeus devised the binomial naming system that gives every living thing a two-part Latin name, bringing order to the chaos of natural description.\n\nHis Systema Naturae is the foundation of modern taxonomy."
https://upload.wikimedia.org/wikipedia/commons/1/1e/Wolfgang-amadeus-mozart_1.jpg,Wolfgang Amadeus Mozart,1756-1791,composer,austria,"A prodigy who toured Europe as a child, Mozart composed over 600 works spanning symphony, opera, and concerto with unmatched fluency.\n\nHe died at 35, leaving the Requiem unfinished and the Classical style at its height."
https://upload.wikimedia.org/wikipedia/commons/4/40/Napoleon_in_His_Study.jpg,Napoleon Bonaparte,1769-1821,military leader,france,"Rising from the turmoil of the French Revolution, Napoleon crowned himself Emperor and redrew the map of Europe through a decade of conquest.\n\nDefeated at Waterloo and exiled, he left behind the Napoleonic Code that still underpins civil law across much of the world."
https://upload.wikimedia.org/wikipedia/commons/6/6f/Beethoven.jpg,Ludwig van Beethoven,1770-1827,composer,germany,"Beethoven bridged the Classical and Romantic eras, expanding the symphony into a vehicle for personal and political expression.\n\nHe continued composing masterpieces, including the Ninth Symphony, after becoming almost completely deaf."
