image,discovery,scientist,year,field,excerpt
,Amber and Static Electricity,Thales of Miletus,600 BC,electricity & magnetism,"According to accounts later recorded by Aristotle, the Greek philosopher Thales of Miletus observed that a piece of amber, once rubbed with cloth, would attract light bits of straw or dry grass. Though the story reaches us only as secondhand tradition, it stands as the earliest recorded brush with electrical phenomena, showing that thinkers were puzzling over the strange attractive powers of rubbed materials more than two millennia before anyone understood electrons.\n\nThe observation had no theory behind it, but it planted a seed. For centuries this curiosity of fossilized tree sap remained an isolated marvel rather than the doorway to a science."
https://upload.wikimedia.org/wikipedia/commons/f/f2/Nikolaus_Kopernikus.jpg,Heliocentrism,Nicolaus Copernicus,1543,astronomy,"In the year of his death, Copernicus published De revolutionibus, arguing that the Earth and planets circle the Sun rather than sitting motionless at the center of creation. The claim contradicted both common sense and Church teaching, and he prudently framed it as a mathematical convenience.\n\nYet the idea could not be contained, and over the following century it toppled the ancient Earth-centered cosmos and set the Scientific Revolution in motion."
https://upload.wikimedia.org/wikipedia/commons/9/98/Kepler_laws_diagram.svg,Kepler's Laws of Planetary Motion,Johannes Kepler,1609,astronomy,"Beginning in 1609, Kepler released his mathematical analyses of decades of planetary observations, demonstrating that the planets trace elliptical paths with the Sun at one focus rather than moving on the perfect circles demanded by ancient tradition. His conclusions applied to the Earth as well, placing it firmly among the worlds that orbit the Sun. Though buried in dense and difficult prose, these laws became bedrock facts that later thinkers would have to reconcile with any theory of the heavens."
,Galileo's Telescopic Discoveries,Galileo Galilei,1610,astronomy,"In 1610 Galileo turned his newly perfected telescope toward the sky and uncovered a cascade of wonders: spots drifting across the Sun, mountains on the Moon, the phases of Venus, four moons circling Jupiter, and the resolution of the Milky Way into countless stars. These sights shattered the Aristotelian belief in flawless, unchanging heavens and offered concrete evidence for the Sun-centered cosmos. Galileo gathered his findings in The Starry Messenger, a slim book that made him famous across Europe almost overnight."
https://upload.wikimedia.org/wikipedia/commons/c/ca/Galileos_Dialogue_Title_Page.png,Dialogue on the Two Chief World Systems,Galileo Galilei,1632,astronomy,"Granted permission by a friendly new Pope to weigh the competing world systems, Galileo published in 1632 a lively book written in Italian for a general audience rather than scholarly Latin. Cast as a debate among fictional characters, it made the case for the Copernican view so vividly that it sold out instantly, yet the dim-witted defender of tradition convinced the Pope he was being mocked. The resulting fury led to Galileo's trial and lifelong house arrest, though it did little to slow the spread of his ideas."
https://upload.wikimedia.org/wikipedia/commons/5/55/Galileo_Galilei%2C_Discorsi_e_Dimostrazioni_Matematiche_Intorno_a_Due_Nuove_Scienze%2C_1638_%281400x1400%29.png,Two New Sciences,Galileo Galilei,1638,mechanics,"While confined under house arrest in his final years, Galileo composed what many consider his most important work, an exposition of his lifelong study of motion drawn from rolling balls down inclined planes and watching objects fall. The manuscript was quietly carried out of Italy and printed in Holland, escaping the authorities who had silenced him. Its treatment of falling bodies and inertia laid the groundwork for the science of motion and helped explain how a moving Earth could carry everything upon it without notice."
,Torricelli and the Barometer,Evangelista Torricelli,1643,thermodynamics,"A student of Galileo, Torricelli suspected that the well-known 33-foot limit on water siphons had nothing to do with any mysterious fear of a vacuum, but everything to do with the weight of the atmosphere pressing down from above. To test the idea he inverted a tube of dense mercury into a dish, and watched the metal settle at roughly 2.5 feet, leaving genuine empty space above it.\n\nThe result overturned Aristotle's insistence that a vacuum could not exist and revealed that we live at the bottom of a sea of air with real, measurable weight. When Torricelli noticed the mercury level drifting from day to day with the weather, he had unwittingly created the first barometer."
https://upload.wikimedia.org/wikipedia/commons/c/c2/Anselmus-van-Hulle-Hommes-illustres_MG_0539.tif,Von Guericke's Air Pump,Otto von Guericke,1645,thermodynamics,"Inspired by news of Torricelli's experiments, the mayor of Magdeburg turned his amateur enthusiasm for physics into invention and built the first working air pump. Using it to empty a glass vessel, he confirmed that a feather and a ball fall together in the absence of air, just as Galileo had argued. The device gave experimenters their first reliable means of producing and studying a vacuum."
,Pascal's Mountain Barometer,Blaise Pascal,1648,thermodynamics,"In frail health himself, Pascal persuaded his brother-in-law to carry a barometer up a mountain to see whether the mercury column would drop at higher altitude. It did, exactly as expected if the instrument were being supported by the weight of the air above it. The demonstration gave powerful confirmation that atmospheric pressure diminishes with height."
,The Magdeburg Hemispheres,Otto von Guericke,1654,thermodynamics,"Before Emperor Ferdinand III, von Guericke fitted together two large brass hemispheres, pumped the air from inside, and challenged teams of horses to pull them apart. The animals strained in vain, yet the moment a valve let the air back in, the spheres simply fell open. The spectacle made the crushing force of atmospheric pressure vividly, and memorably, undeniable."
,The First Electrostatic Machine,Otto von Guericke,1660,electricity & magnetism,"In Magdeburg, Otto von Guericke built the earliest known machine capable of generating and storing electric charge far larger than a rubbed lump of amber could produce. His device relied on a rotating globe of insulating material electrified by continuous friction against cloth or fur, drawing sparks several centimeters long. The same inventor famous for the evacuated hemispheres now gave electricity its first mechanical amplifier, launching an era of ever-grander charge-building apparatus."
https://upload.wikimedia.org/wikipedia/commons/1/15/Boyles_Law_animated.gif,Boyle's Law,Robert Boyle,1662,thermodynamics,"By sealing air in a cylinder and piling weights upon it, Boyle found a clean rule: double the pressure and the gas shrinks to half its volume, triple it and the volume falls to a third. This inverse relationship between pressure and volume became known as Boyle's Law. He went further, suggesting that air is made of tiny particles separated by empty space, which is why it can be squeezed at all."
